Название,Бюджет($),Сборы в США($),Сборы в мире($),Статус
Оппенгеймер,$100 000 000,$329 862 540,$972 444 774,Победитель
Оставленные,$20 000 000,$20 355 375,$44 644 930,Номинант
Бедные-несчастные,$35 000 000,$34 553 225,$117 463 328,Номинант
Прошлые жизни,$19 000 000, $11 185 625,$42 333 271,Номинант
Американское чтиво,$24 000 000,$21 098 470,$22 483 370,Номинант
Убийцы цветочной луны,$200 000 000,$68 026 901,$157 026 901,Номинант
Зона интересов,$15 000 000,$8 659 464,$48 975 567,Номинант
Анатомия падения,$6 200 000,$5 076 369 ,$35 608 040 ,Номинант
Барби,$100 000 000,$636 238 421,$1 445 638 421,Номинант
Маэстро,$80 000 000,$57 878,$383 532,Номинант
Аватар: Путь воды,$350 000 000,$684 075 767,$2 320 250 281,Номинант
Топ Ган: Мэверик,$140 000 000,$718 732 821,$1 495 696 292,Номинант
На Западном фронте без перемен,$20 000 000,$16 772 934,$19 993 562,Номинант
Фабельманы,$40 000 000,$17 348 945,$45 647 323,Номинант
Банши Инишерина,$20 000 000,$10 582 266,$49 262 687,Номинант
Всё везде и сразу,$25 000 000,$77 191 785 ,$139 405 704,Победитель
Тар,$35 000 000,$6 773 650,$29 048 571,Номинант
Элвис,$85 000 000,$151 040 048,$287 740 048,Номинант
Треугольник печали,$15 600 000,$4 608 096,$26 214 659 ,Номинант
Говорят женщины,$13 000 000,$5 456 531,$9 274 940,Номинант
CODA: Ребенок глухих родителей,$10 000 000,$228 607,$1 905 058 ,Победитель
Дюна,$165 000 000,$108 897 830,$407 573 628,Номинант
Король Ричард,$50 000 000,$15 129 285,$39 429 285,Номинант
Не смотрите наверх,$75 000 000,$200 565,$791 863 ,Номинант
Сядь за руль моей машины,$12 000 000,$2 352 240,$15 334 331,Номинант
Аллея кошмаров,$60 000 000,$11 338 107,$39 629 195,Номинант
Лакричная пицца,$40 000 000,$17 318 007,$33 274 040,Номинант
Белфаст,$14 000 000,$9 250 870,$49 158 709,Номинант
Вестсайдская история,$100 000 000,$38 530 322,$76 016 171,Номинант
Власть пса,$35 000 000,$96 261,$271 009,Номинант
Отец,$17 000 000,$2 122 771,$24 043 318,Номинант
Суд над чикагской семеркой,$35 000 000,$20 560,$24 357 ,Номинант
Звук металла,$5 400 000,$2 126,$516 520 ,Номинант
Земля кочевников,$5 000 000,$3 700 000,$39 458 207,Победитель
Манк,$25 000 000,$12 872,$83 469 ,Номинант
Минари,$2 000 000,$3 110 580,$15 288 578,Номинант
Девушка,$10 000 000,$6 460 965,$18 854 166 ,Номинант
Иуда и чёрный мессия,$26 000 000,$5 478 009,$7 478 009,Номинант
Ford против Ferrari,$97 600 000,$117 624 357,$225 508 210,Номинант
Паразиты,$11 000 000,$53 369 749,$262 099 264,Победитель
Джокер,$55 000 000,$335 451 311,$1 078 751 311,Номинант
Кролик Джоджо,$14 000 000,$33 370 906,$90 335 025,Номинант
1917,$100 000 000,$159 227 644,$384 580 017,Номинант
Маленькие женщины,$40 000 000,$108 101 214,$218 843 645,Номинант
Однажды в… Голливуде,$90 000 000,$142 502 728,$377 426 903,Номинант
История о супружестве,$8 600 000,$17 428,$333 686 ,Номинант
Ирландец,$160 000 000,$968 853,$968 853,Номинант
Зеленая книга,$23 000 000,$85 080 171,$321 752 656 ,Победитель
Богемская рапсодия,$52 000 000,$216 428 042,$903 655 259,Номинант
Звезда родилась,$36 000 000,$215 288 866,$436 388 866,Номинант
Фаворитка,$15 000 000,$34 366 783,$95 918 706,Номинант
Власть,$40 000 000,$47 836 282,$76 073 488,Номинант
Рома,$15 000 000,$589 543,$1 140 769,Номинант
