Название,Название в оригинале,Год,Продолжительность,Страна,Жанр,Режиссер,Рейтинг,Ссылка
Оппенгеймер,Oppenheimer,2023,180,США,биография,Кристофер Нолан,8.2,https://www.kinopoisk.ru/film/4664634/
Оставленные,The Holdovers,2023,133,США,драма,Александр Пэйн,7.7,https://www.kinopoisk.ru/film/4499386/
Бедные-несчастные,Poor Things,2023,141,Ирландия,драма,Йоргос Лантимос,7.7,https://www.kinopoisk.ru/film/4396438/
Прошлые жизни,Past Lives,2023,105,США,мелодрама,Селин Сон,7.4,https://www.kinopoisk.ru/film/1346482/
Американское чтиво,American Fiction,2023,116,США,драма,Корд Джефферсон,7.3,https://www.kinopoisk.ru/film/5212291/
Убийцы цветочной луны,Killers of the Flower Moon,2023,206,США,драма,Мартин Скорсезе,7.2,https://www.kinopoisk.ru/film/1077781/
Зона интересов,The Zone of Interest,2023,105,США,драма,Джонатан Глейзер,6.9,https://www.kinopoisk.ru/film/1048873/
Анатомия падения,Anatomie d'une chute,2023,151,Франция,драма,Жюстин Трие,6.8,https://www.kinopoisk.ru/film/4910679/
Барби,Barbie,2023,114,США,комедия,Грета Гервиг,6.6,https://www.kinopoisk.ru/film/478052/
Маэстро,Maestro,2023,129,США,биография,Брэдли Купер,6.2,https://www.kinopoisk.ru/film/1156789/
Аватар: Путь воды,Avatar: The Way of Water,2022,192,США,фантастика,Джеймс Кэмерон,7.8,https://www.kinopoisk.ru/film/505898/
Топ Ган: Мэверик,Top Gun: Maverick,2022,130,США,боевик,Джозеф Косински,7.7,https://www.kinopoisk.ru/film/572032/
На Западном фронте без перемен,Im Westen nichts Neues,2022,148,Германия,военный,Эдвард Бергер,7.6,https://www.kinopoisk.ru/film/316376/
Фабельманы,The Fabelmans,2022,151,США,драма,Стивен Спилберг,7.6,https://www.kinopoisk.ru/film/4472502/
Банши Инишерина,The Banshees of Inisherin,2022,114,Великобритания,драма,Мартин Макдона,7.5,https://www.kinopoisk.ru/film/1354524/
Всё везде и сразу,Everything Everywhere All at Once,2021,139,США,фантастика,Дэн Кван,7.2,https://www.kinopoisk.ru/film/1322324/
Тар,Tár,2022,158,США,драма,Тодд Филд,7.2,https://www.kinopoisk.ru/film/4511218/
Элвис,Elvis,2022,159,США,биография,Баз Лурман,7.1,https://www.kinopoisk.ru/film/1179041/
Треугольник печали,Triangle of Sadness,2022,147,Великобритания,драма,Рубен Эстлунд,6.5,https://www.kinopoisk.ru/film/1348487/
Говорят женщины,Women Talking,2022,104,США,драма,Сара Полли,6.2,https://www.kinopoisk.ru/film/4308297/
CODA: Ребенок глухих родителей,CODA,2020,111,Франция,драма,Шан Хейдер,8.0,https://www.kinopoisk.ru/film/1311466/
Дюна,Dune: Part One,2021,155,США,фантастика,Дени Вильнёв,7.7,https://www.kinopoisk.ru/film/409424/
Король Ричард,King Richard,2021,144,США,биография,Рейнальдо Маркус Грин,7.6,https://www.kinopoisk.ru/film/1272469/
Не смотрите наверх,Don't Look Up,2021,138,США,драма,Адам Маккей,7.5,https://www.kinopoisk.ru/film/1338480/
Сядь за руль моей машины,Doraibu mai ka,2021,179,Япония,драма,Рюсукэ Хамагути,7.3,https://www.kinopoisk.ru/film/4382259/
Аллея кошмаров,Nightmare Alley,2021,150,США,триллер,Гильермо дель Торо,7.1,https://www.kinopoisk.ru/film/1125892/
Лакричная пицца,Licorice Pizza,2021,133,США,драма,Пол Томас Андерсон,7.0,https://www.kinopoisk.ru/film/1320623/
Белфаст,Belfast,2021,98,Великобритания,драма,Кеннет Брана,7.0,https://www.kinopoisk.ru/film/1397888/
Вестсайдская история,West Side Story,2021,156,США,мюзикл,Стивен Спилберг,6.7,https://www.kinopoisk.ru/film/839653/
Власть пса,The Power of the Dog,2021,126,Новая Зеландия,драма,Джейн Кэмпион,6.6,https://www.kinopoisk.ru/film/1262931/
Отец,The Father,2020,97,Великобритания,драма,Флориан Зеллер,7.8,https://www.kinopoisk.ru/film/1262160/
Суд над чикагской семеркой,The Trial of the Chicago 7,2020,129,США,триллер,Аарон Соркин,7.6,https://www.kinopoisk.ru/film/402981/
Звук металла,Sound of Metal,2019,120,США,драма,Дариус Мардер,7.3,https://www.kinopoisk.ru/film/957883/
Земля кочевников,Nomadland,2020,110,США,драма,Хлоя Чжао,7.2,https://www.kinopoisk.ru/film/1238506/
Манк,Mank,2020,131,США,биография,Дэвид Финчер,7.0,https://www.kinopoisk.ru/film/1283862/
Минари,Minari,2020,115,США,драма,Ли Айзек Чун,6.9,https://www.kinopoisk.ru/film/1286541/
"Девушка, подающая надежды",Promising Young Woman,2020,113,Великобритания,триллер,Эмиральд Феннел,6.8,https://www.kinopoisk.ru/film/1236567/
Иуда и чёрный мессия,Judas and the Black Messiah,2020,126,США,биография,Шака Кинг,6.4,https://www.kinopoisk.ru/film/1239696/
Ford против Ferrari,Ford v Ferrari,2019,152,США,биография,Джеймс Мэнголд,8.2,https://www.kinopoisk.ru/film/835086/
Паразиты,Gisaengchung,2019,131,Корея Южная,драма,Пон Джун-хо,8.0,https://www.kinopoisk.ru/film/1043758/
Джокер,Joker,2019,122,США,драма,Тодд Филлипс,8.0,https://www.kinopoisk.ru/film/1048334/
Кролик Джоджо,Jojo Rabbit,2019,108,Новая Зеландия,комедия,Тайка Вайтити,7.9,https://www.kinopoisk.ru/film/726838/
1917,1917,2019,119,Великобритания,военный,Сэм Мендес,7.9,https://www.kinopoisk.ru/film/1171976/
Маленькие женщины,Little Women,2019,135,США,драма,Грета Гервиг,7.8,https://www.kinopoisk.ru/film/807339/
Однажды в… Голливуде,Once Upon a Time in... Hollywood,2019,161,США,драма,Квентин Тарантино,7.7,https://www.kinopoisk.ru/film/1047883/
История о супружестве,Marriage Story,2019,137,Великобритания,драма,Ноа Баумбак,7.6,https://www.kinopoisk.ru/film/1115486/
Ирландец,The Irishman,2019,209,США,криминал,Мартин Скорсезе,7.4,https://www.kinopoisk.ru/film/462305/
